TPR,power,FDR,FPR,precision,F1,n_discoveries,n_true_signals,TP,FP,TN,FN,method,dataset,seed
0.54,0.54,0.1,0.006666666666666667,0.9,0.675,30,50,27,3,447,23,BH,15_Hepatitis,42
0.64,0.64,0.7090909090909091,0.17333333333333334,0.2909090909090909,0.39999999999999997,110,50,32,78,372,18,SpatialFDR,15_Hepatitis,42
0.54,0.54,0.1,0.006666666666666667,0.9,0.675,30,50,27,3,447,23,BH,15_Hepatitis,43
0.64,0.64,0.7090909090909091,0.17333333333333334,0.2909090909090909,0.39999999999999997,110,50,32,78,372,18,SpatialFDR,15_Hepatitis,43
0.54,0.54,0.1,0.006666666666666667,0.9,0.675,30,50,27,3,447,23,BH,15_Hepatitis,44
0.64,0.64,0.7090909090909091,0.17333333333333334,0.2909090909090909,0.39999999999999997,110,50,32,78,372,18,SpatialFDR,15_Hepatitis,44
0.54,0.54,0.1,0.006666666666666667,0.9,0.675,30,50,27,3,447,23,BH,15_Hepatitis,45
0.64,0.64,0.7090909090909091,0.17333333333333334,0.2909090909090909,0.39999999999999997,110,50,32,78,372,18,SpatialFDR,15_Hepatitis,45
0.54,0.54,0.1,0.006666666666666667,0.9,0.675,30,50,27,3,447,23,BH,15_Hepatitis,46
0.64,0.64,0.7090909090909091,0.17333333333333334,0.2909090909090909,0.39999999999999997,110,50,32,78,372,18,SpatialFDR,15_Hepatitis,46
