TPR,power,FDR,FPR,precision,F1,n_discoveries,n_true_signals,TP,FP,TN,FN,method,dataset,seed
0.66,0.66,0.05714285714285714,0.0044444444444444444,0.9428571428571428,0.7764705882352942,35,50,33,2,448,17,BH,19_landsat,42
0.44,0.44,0.9026548672566371,0.4533333333333333,0.09734513274336283,0.15942028985507248,226,50,22,204,246,28,SpatialFDR,19_landsat,42
0.48,0.48,0.07692307692307693,0.0044444444444444444,0.9230769230769231,0.631578947368421,26,50,24,2,448,26,BH,19_landsat,43
0.94,0.94,0.8057851239669421,0.43333333333333335,0.19421487603305784,0.3219178082191781,242,50,47,195,255,3,SpatialFDR,19_landsat,43
0.76,0.76,0.02564102564102564,0.0022222222222222222,0.9743589743589743,0.853932584269663,39,50,38,1,449,12,BH,19_landsat,44
0.78,0.78,0.6666666666666666,0.17333333333333334,0.3333333333333333,0.46706586826347307,117,50,39,78,372,11,SpatialFDR,19_landsat,44
0.54,0.54,0.03571428571428571,0.0022222222222222222,0.9642857142857143,0.6923076923076923,28,50,27,1,449,23,BH,19_landsat,45
0.04,0.04,0.9897959183673469,0.4311111111111111,0.01020408163265306,0.016260162601626015,196,50,2,194,256,48,SpatialFDR,19_landsat,45
0.72,0.72,0.02702702702702703,0.0022222222222222222,0.972972972972973,0.8275862068965518,37,50,36,1,449,14,BH,19_landsat,46
0.86,0.86,0.29508196721311475,0.04,0.7049180327868853,0.7747747747747747,61,50,43,18,432,7,SpatialFDR,19_landsat,46
