TPR,power,FDR,FPR,precision,F1,n_discoveries,n_true_signals,TP,FP,TN,FN,method,dataset,seed
0.52,0.52,0.13333333333333333,0.008888888888888889,0.8666666666666667,0.65,30,50,26,4,446,24,BH,25_musk,42
0.98,0.98,0.5288461538461539,0.12222222222222222,0.47115384615384615,0.6363636363636364,104,50,49,55,395,1,SpatialFDR,25_musk,42
0.54,0.54,0.1,0.006666666666666667,0.9,0.675,30,50,27,3,447,23,BH,25_musk,43
0.86,0.86,0.6260869565217392,0.16,0.3739130434782609,0.5212121212121212,115,50,43,72,378,7,SpatialFDR,25_musk,43
0.6,0.6,0.09090909090909091,0.006666666666666667,0.9090909090909091,0.7228915662650602,33,50,30,3,447,20,BH,25_musk,44
0.62,0.62,0.9003215434083601,0.6222222222222222,0.09967845659163987,0.17174515235457063,311,50,31,280,170,19,SpatialFDR,25_musk,44
0.74,0.74,0.0,0.0,1.0,0.8505747126436781,37,50,37,0,2,13,BH,25_musk,45
0.96,0.96,0.02040816326530612,0.5,0.9795918367346939,0.9696969696969697,49,50,48,1,1,2,SpatialFDR,25_musk,45
0.52,0.52,0.07142857142857142,0.0273972602739726,0.9285714285714286,0.6666666666666666,28,50,26,2,71,24,BH,25_musk,46
0.32,0.32,0.0,0.0,1.0,0.48484848484848486,16,50,16,0,73,34,SpatialFDR,25_musk,46
