TPR,power,FDR,FPR,precision,F1,n_discoveries,n_true_signals,TP,FP,TN,FN,method,dataset,seed
0.6,0.6,0.0625,0.0044444444444444444,0.9375,0.7317073170731707,32,50,30,2,448,20,BH,31_satimage-2,42
0.92,0.92,0.43902439024390244,0.08,0.5609756097560976,0.6969696969696971,82,50,46,36,414,4,SpatialFDR,31_satimage-2,42
0.54,0.54,0.06896551724137931,0.0044444444444444444,0.9310344827586207,0.6835443037974683,29,50,27,2,448,23,BH,31_satimage-2,43
0.38,0.38,0.9512820512820512,0.8244444444444444,0.04871794871794872,0.08636363636363638,390,50,19,371,79,31,SpatialFDR,31_satimage-2,43
0.6,0.6,0.14285714285714285,0.011111111111111112,0.8571428571428571,0.7058823529411764,35,50,30,5,445,20,BH,31_satimage-2,44
0.62,0.62,0.929384965831435,0.9066666666666666,0.07061503416856492,0.12678936605316973,439,50,31,408,42,19,SpatialFDR,31_satimage-2,44
0.66,0.66,0.029411764705882353,0.0022222222222222222,0.9705882352941176,0.7857142857142857,34,50,33,1,449,17,BH,31_satimage-2,45
0.94,0.94,0.3974358974358974,0.06888888888888889,0.6025641025641025,0.7343749999999999,78,50,47,31,419,3,SpatialFDR,31_satimage-2,45
0.54,0.54,0.06896551724137931,0.0044444444444444444,0.9310344827586207,0.6835443037974683,29,50,27,2,448,23,BH,31_satimage-2,46
0.48,0.48,0.5932203389830508,0.07777777777777778,0.4067796610169492,0.44036697247706424,59,50,24,35,415,26,SpatialFDR,31_satimage-2,46
