TPR,power,FDR,FPR,precision,F1,n_discoveries,n_true_signals,TP,FP,TN,FN,method,dataset,seed
0.68,0.68,0.05555555555555555,0.0044444444444444444,0.9444444444444444,0.7906976744186047,36,50,34,2,448,16,BH,33_skin,42
0.96,0.96,0.8513931888544891,0.6111111111111112,0.14860681114551083,0.257372654155496,323,50,48,275,175,2,SpatialFDR,33_skin,42
0.58,0.58,0.09375,0.006666666666666667,0.90625,0.7073170731707317,32,50,29,3,447,21,BH,33_skin,43
0.66,0.66,0.8206521739130435,0.33555555555555555,0.1793478260869565,0.28205128205128205,184,50,33,151,299,17,SpatialFDR,33_skin,43
0.7,0.7,0.05405405405405406,0.0044444444444444444,0.9459459459459459,0.8045977011494254,37,50,35,2,448,15,BH,33_skin,44
0.76,0.76,0.5869565217391305,0.12,0.41304347826086957,0.5352112676056338,92,50,38,54,396,12,SpatialFDR,33_skin,44
0.6,0.6,0.03225806451612903,0.0022222222222222222,0.967741935483871,0.7407407407407407,31,50,30,1,449,20,BH,33_skin,45
0.64,0.64,0.9047619047619048,0.6755555555555556,0.09523809523809523,0.16580310880829016,336,50,32,304,146,18,SpatialFDR,33_skin,45
0.64,0.64,0.13513513513513514,0.011111111111111112,0.8648648648648649,0.7356321839080459,37,50,32,5,445,18,BH,33_skin,46
0.54,0.54,0.9369158878504673,0.8911111111111111,0.0630841121495327,0.11297071129707112,428,50,27,401,49,23,SpatialFDR,33_skin,46
