TPR,power,FDR,FPR,precision,F1,n_discoveries,n_true_signals,TP,FP,TN,FN,method,dataset,seed
0.7,0.7,0.10256410256410256,0.008888888888888889,0.8974358974358975,0.7865168539325842,39,50,35,4,446,15,BH,41_Waveform,42
0.92,0.92,0.7688442211055276,0.34,0.23115577889447236,0.3694779116465864,199,50,46,153,297,4,SpatialFDR,41_Waveform,42
0.62,0.62,0.06060606060606061,0.0044444444444444444,0.9393939393939394,0.7469879518072288,33,50,31,2,448,19,BH,41_Waveform,43
0.72,0.72,0.3898305084745763,0.051111111111111114,0.6101694915254238,0.6605504587155964,59,50,36,23,427,14,SpatialFDR,41_Waveform,43
0.64,0.64,0.08571428571428572,0.006666666666666667,0.9142857142857143,0.7529411764705883,35,50,32,3,447,18,BH,41_Waveform,44
0.0,0.0,1.0,0.6,0.0,0.0,270,50,0,270,180,50,SpatialFDR,41_Waveform,44
0.62,0.62,0.06060606060606061,0.0044444444444444444,0.9393939393939394,0.7469879518072288,33,50,31,2,448,19,BH,41_Waveform,45
0.88,0.88,0.7380952380952381,0.27555555555555555,0.2619047619047619,0.4036697247706422,168,50,44,124,326,6,SpatialFDR,41_Waveform,45
0.62,0.62,0.06060606060606061,0.0044444444444444444,0.9393939393939394,0.7469879518072288,33,50,31,2,448,19,BH,41_Waveform,46
1.0,1.0,0.6212121212121212,0.18222222222222223,0.3787878787878788,0.5494505494505494,132,50,50,82,368,0,SpatialFDR,41_Waveform,46
