TPR,power,FDR,FPR,precision,F1,n_discoveries,n_true_signals,TP,FP,TN,FN,method,dataset,seed
0.54,0.54,0.03571428571428571,0.0041841004184100415,0.9642857142857143,0.6923076923076923,28,50,27,1,238,23,BH,45_wine,42
0.78,0.78,0.1875,0.03765690376569038,0.8125,0.7959183673469388,48,50,39,9,230,11,SpatialFDR,45_wine,42
0.54,0.54,0.03571428571428571,0.0041841004184100415,0.9642857142857143,0.6923076923076923,28,50,27,1,238,23,BH,45_wine,43
0.78,0.78,0.1875,0.03765690376569038,0.8125,0.7959183673469388,48,50,39,9,230,11,SpatialFDR,45_wine,43
0.54,0.54,0.03571428571428571,0.0041841004184100415,0.9642857142857143,0.6923076923076923,28,50,27,1,238,23,BH,45_wine,44
0.78,0.78,0.1875,0.03765690376569038,0.8125,0.7959183673469388,48,50,39,9,230,11,SpatialFDR,45_wine,44
0.54,0.54,0.03571428571428571,0.0041841004184100415,0.9642857142857143,0.6923076923076923,28,50,27,1,238,23,BH,45_wine,45
0.78,0.78,0.1875,0.03765690376569038,0.8125,0.7959183673469388,48,50,39,9,230,11,SpatialFDR,45_wine,45
0.54,0.54,0.03571428571428571,0.0041841004184100415,0.9642857142857143,0.6923076923076923,28,50,27,1,238,23,BH,45_wine,46
0.78,0.78,0.1875,0.03765690376569038,0.8125,0.7959183673469388,48,50,39,9,230,11,SpatialFDR,45_wine,46
