TPR,power,FDR,FPR,precision,F1,n_discoveries,n_true_signals,TP,FP,TN,FN,method,dataset,seed
0.48,0.48,0.1111111111111111,0.010416666666666666,0.8888888888888888,0.6233766233766234,27,50,24,3,285,26,BH,4_breastw,42
0.62,0.62,0.7304347826086957,0.2916666666666667,0.26956521739130435,0.37575757575757573,115,50,31,84,204,19,SpatialFDR,4_breastw,42
0.48,0.48,0.1111111111111111,0.010416666666666666,0.8888888888888888,0.6233766233766234,27,50,24,3,285,26,BH,4_breastw,43
0.62,0.62,0.7304347826086957,0.2916666666666667,0.26956521739130435,0.37575757575757573,115,50,31,84,204,19,SpatialFDR,4_breastw,43
0.48,0.48,0.1111111111111111,0.010416666666666666,0.8888888888888888,0.6233766233766234,27,50,24,3,285,26,BH,4_breastw,44
0.62,0.62,0.7304347826086957,0.2916666666666667,0.26956521739130435,0.37575757575757573,115,50,31,84,204,19,SpatialFDR,4_breastw,44
0.48,0.48,0.1111111111111111,0.010416666666666666,0.8888888888888888,0.6233766233766234,27,50,24,3,285,26,BH,4_breastw,45
0.62,0.62,0.7304347826086957,0.2916666666666667,0.26956521739130435,0.37575757575757573,115,50,31,84,204,19,SpatialFDR,4_breastw,45
0.48,0.48,0.1111111111111111,0.010416666666666666,0.8888888888888888,0.6233766233766234,27,50,24,3,285,26,BH,4_breastw,46
0.62,0.62,0.7304347826086957,0.2916666666666667,0.26956521739130435,0.37575757575757573,115,50,31,84,204,19,SpatialFDR,4_breastw,46
