TPR,power,FDR,FPR,precision,F1,n_discoveries,n_true_signals,TP,FP,TN,FN,method,dataset,seed
0.68,0.68,0.05555555555555555,0.0044444444444444444,0.9444444444444444,0.7906976744186047,36,50,34,2,448,16,BH,33_skin,42
0.96,0.96,0.8513931888544891,0.6111111111111112,0.14860681114551083,0.257372654155496,323,50,48,275,175,2,SpatialFDR,33_skin,42
0.58,0.58,0.09375,0.006666666666666667,0.90625,0.7073170731707317,32,50,29,3,447,21,BH,33_skin,43
0.66,0.66,0.8206521739130435,0.33555555555555555,0.1793478260869565,0.28205128205128205,184,50,33,151,299,17,SpatialFDR,33_skin,43
0.7,0.7,0.05405405405405406,0.0044444444444444444,0.9459459459459459,0.8045977011494254,37,50,35,2,448,15,BH,33_skin,44
0.76,0.76,0.5869565217391305,0.12,0.41304347826086957,0.5352112676056338,92,50,38,54,396,12,SpatialFDR,33_skin,44
0.6,0.6,0.03225806451612903,0.0022222222222222222,0.967741935483871,0.7407407407407407,31,50,30,1,449,20,BH,33_skin,45
0.64,0.64,0.9047619047619048,0.6755555555555556,0.09523809523809523,0.16580310880829016,336,50,32,304,146,18,SpatialFDR,33_skin,45
0.64,0.64,0.13513513513513514,0.011111111111111112,0.8648648648648649,0.7356321839080459,37,50,32,5,445,18,BH,33_skin,46
0.54,0.54,0.9369158878504673,0.8911111111111111,0.0630841121495327,0.11297071129707112,428,50,27,401,49,23,SpatialFDR,33_skin,46
0.66,0.66,0.05714285714285714,0.0044444444444444444,0.9428571428571428,0.7764705882352942,35,50,33,2,448,17,BH,19_landsat,42
0.44,0.44,0.9026548672566371,0.4533333333333333,0.09734513274336283,0.15942028985507248,226,50,22,204,246,28,SpatialFDR,19_landsat,42
0.48,0.48,0.07692307692307693,0.0044444444444444444,0.9230769230769231,0.631578947368421,26,50,24,2,448,26,BH,19_landsat,43
0.94,0.94,0.8057851239669421,0.43333333333333335,0.19421487603305784,0.3219178082191781,242,50,47,195,255,3,SpatialFDR,19_landsat,43
0.76,0.76,0.02564102564102564,0.0022222222222222222,0.9743589743589743,0.853932584269663,39,50,38,1,449,12,BH,19_landsat,44
0.78,0.78,0.6666666666666666,0.17333333333333334,0.3333333333333333,0.46706586826347307,117,50,39,78,372,11,SpatialFDR,19_landsat,44
0.54,0.54,0.03571428571428571,0.0022222222222222222,0.9642857142857143,0.6923076923076923,28,50,27,1,449,23,BH,19_landsat,45
0.04,0.04,0.9897959183673469,0.4311111111111111,0.01020408163265306,0.016260162601626015,196,50,2,194,256,48,SpatialFDR,19_landsat,45
0.72,0.72,0.02702702702702703,0.0022222222222222222,0.972972972972973,0.8275862068965518,37,50,36,1,449,14,BH,19_landsat,46
0.86,0.86,0.29508196721311475,0.04,0.7049180327868853,0.7747747747747747,61,50,43,18,432,7,SpatialFDR,19_landsat,46
0.6,0.6,0.0625,0.0044444444444444444,0.9375,0.7317073170731707,32,50,30,2,448,20,BH,31_satimage-2,42
0.92,0.92,0.43902439024390244,0.08,0.5609756097560976,0.6969696969696971,82,50,46,36,414,4,SpatialFDR,31_satimage-2,42
0.54,0.54,0.06896551724137931,0.0044444444444444444,0.9310344827586207,0.6835443037974683,29,50,27,2,448,23,BH,31_satimage-2,43
0.38,0.38,0.9512820512820512,0.8244444444444444,0.04871794871794872,0.08636363636363638,390,50,19,371,79,31,SpatialFDR,31_satimage-2,43
0.6,0.6,0.14285714285714285,0.011111111111111112,0.8571428571428571,0.7058823529411764,35,50,30,5,445,20,BH,31_satimage-2,44
0.62,0.62,0.929384965831435,0.9066666666666666,0.07061503416856492,0.12678936605316973,439,50,31,408,42,19,SpatialFDR,31_satimage-2,44
0.66,0.66,0.029411764705882353,0.0022222222222222222,0.9705882352941176,0.7857142857142857,34,50,33,1,449,17,BH,31_satimage-2,45
0.94,0.94,0.3974358974358974,0.06888888888888889,0.6025641025641025,0.7343749999999999,78,50,47,31,419,3,SpatialFDR,31_satimage-2,45
0.54,0.54,0.06896551724137931,0.0044444444444444444,0.9310344827586207,0.6835443037974683,29,50,27,2,448,23,BH,31_satimage-2,46
0.48,0.48,0.5932203389830508,0.07777777777777778,0.4067796610169492,0.44036697247706424,59,50,24,35,415,26,SpatialFDR,31_satimage-2,46
0.7,0.7,0.10256410256410256,0.01238390092879257,0.8974358974358975,0.7865168539325842,39,50,35,4,319,15,BH,30_satellite,42
0.82,0.82,0.29310344827586204,0.05263157894736842,0.7068965517241379,0.7592592592592593,58,50,41,17,306,9,SpatialFDR,30_satellite,42
0.54,0.54,0.03571428571428571,0.0022222222222222222,0.9642857142857143,0.6923076923076923,28,50,27,1,449,23,BH,30_satellite,43
0.9,0.9,0.7527472527472527,0.30444444444444446,0.24725274725274726,0.3879310344827587,182,50,45,137,313,5,SpatialFDR,30_satellite,43
0.64,0.64,0.058823529411764705,0.0044444444444444444,0.9411764705882353,0.7619047619047621,34,50,32,2,448,18,BH,30_satellite,44
0.92,0.92,0.6461538461538462,0.18666666666666668,0.35384615384615387,0.5111111111111112,130,50,46,84,366,4,SpatialFDR,30_satellite,44
0.72,0.72,0.07692307692307693,0.006666666666666667,0.9230769230769231,0.8089887640449438,39,50,36,3,447,14,BH,30_satellite,45
0.94,0.94,0.43373493975903615,0.08,0.5662650602409639,0.7067669172932332,83,50,47,36,414,3,SpatialFDR,30_satellite,45
0.68,0.68,0.05555555555555555,0.0044444444444444444,0.9444444444444444,0.7906976744186047,36,50,34,2,448,16,BH,30_satellite,46
0.78,0.78,0.7692307692307693,0.28888888888888886,0.23076923076923078,0.35616438356164387,169,50,39,130,320,11,SpatialFDR,30_satellite,46
0.7,0.7,0.10256410256410256,0.008888888888888889,0.8974358974358975,0.7865168539325842,39,50,35,4,446,15,BH,41_Waveform,42
0.92,0.92,0.7688442211055276,0.34,0.23115577889447236,0.3694779116465864,199,50,46,153,297,4,SpatialFDR,41_Waveform,42
0.62,0.62,0.06060606060606061,0.0044444444444444444,0.9393939393939394,0.7469879518072288,33,50,31,2,448,19,BH,41_Waveform,43
0.72,0.72,0.3898305084745763,0.051111111111111114,0.6101694915254238,0.6605504587155964,59,50,36,23,427,14,SpatialFDR,41_Waveform,43
0.64,0.64,0.08571428571428572,0.006666666666666667,0.9142857142857143,0.7529411764705883,35,50,32,3,447,18,BH,41_Waveform,44
0.0,0.0,1.0,0.6,0.0,0.0,270,50,0,270,180,50,SpatialFDR,41_Waveform,44
0.62,0.62,0.06060606060606061,0.0044444444444444444,0.9393939393939394,0.7469879518072288,33,50,31,2,448,19,BH,41_Waveform,45
0.88,0.88,0.7380952380952381,0.27555555555555555,0.2619047619047619,0.4036697247706422,168,50,44,124,326,6,SpatialFDR,41_Waveform,45
